#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1361	27302	ENTREZ_GENE	BMP10	-	9606	Homo sapiens	5.5e-06	2.39e-05	0.299505	-0.72378	-	YES	BioGRID ORCS
1361	79441	ENTREZ_GENE	HAUS3	C4orf15|IT1|dgt3	9606	Homo sapiens	7.18e-06	3.33e-05	0.299505	-0.25542	-	YES	BioGRID ORCS
1361	7398	ENTREZ_GENE	USP1	UBP	9606	Homo sapiens	1.35e-05	5.64e-05	0.338284	-0.25542	-	YES	BioGRID ORCS
1361	7157	ENTREZ_GENE	TP53	BCC7|LFS1|P53|TRP53	9606	Homo sapiens	1.8e-05	7.95e-05	0.357673	2.4769	-	YES	BioGRID ORCS
1361	9885	ENTREZ_GENE	OSBPL2	DFNA67|DNFA67|ORP-2|ORP2|KIAA0772	9606	Homo sapiens	2.88e-05	0.00013444	0.484158	1.5731	-	YES	BioGRID ORCS
1361	359948	ENTREZ_GENE	IRF2BP2	IRF-2BP2	9606	Homo sapiens	4.38e-05	0.00021031	0.577793	2.1614	-	YES	BioGRID ORCS
1361	11146	ENTREZ_GENE	GLMN	FAP|FAP48|FAP68|FKBPAP|GLML|GVM|VMGLOM	9606	Homo sapiens	4.7e-05	0.00022461	0.577793	-0.25542	-	YES	BioGRID ORCS
1361	3693	ENTREZ_GENE	ITGB5	-	9606	Homo sapiens	6.7e-05	0.00030874	0.635314	1.9333	-	YES	BioGRID ORCS
1361	5862	ENTREZ_GENE	RAB2A	LHX|RAB2	9606	Homo sapiens	6.91e-05	0.00031753	0.635314	1.872	-	YES	BioGRID ORCS
1361	9276	ENTREZ_GENE	COPB2	beta'-COP|betaprime-COP	9606	Homo sapiens	7.87e-05	0.00036097	0.65	2.5191	-	YES	BioGRID ORCS
1361	90007	ENTREZ_GENE	MIDN	-	9606	Homo sapiens	9.01e-05	0.00041376	0.677318	1.8868	-	YES	BioGRID ORCS
1361	7106	ENTREZ_GENE	TSPAN4	NAG-2|NAG2|TETRASPAN|TM4SF7|TSPAN-4	9606	Homo sapiens	0.00011864	0.00053967	0.739171	2.3872	-	YES	BioGRID ORCS
1361	79659	ENTREZ_GENE	DYNC2H1	ATD3|DHC1b|DHC2|DNCH2|DYH1B|SRPS2B|SRTD3|hdhc11	9606	Homo sapiens	0.00012068	0.00054352	0.739171	2.8981	-	YES	BioGRID ORCS
1361	1559	ENTREZ_GENE	CYP2C9	CPC9|CYP2C|CYP2C10|CYPIIC9|P450IIC9	9606	Homo sapiens	0.00013968	0.00063699	0.739171	3.2686	-	YES	BioGRID ORCS
1361	51728	ENTREZ_GENE	POLR3K	C11|C11-RNP3|My010|RPC10|RPC11|RPC12.5	9606	Homo sapiens	0.00014303	0.00065266	0.739171	2.9031	-	YES	BioGRID ORCS
1361	91869	ENTREZ_GENE	RFT1	CDG1N	9606	Homo sapiens	0.00014385	0.00065679	0.739171	-2.2998	-	YES	BioGRID ORCS
1361	51001	ENTREZ_GENE	MTERF3	CGI-12|MTERFD1|FLJ10939	9606	Homo sapiens	0.0001543	0.00071562	0.757701	2.2637	-	YES	BioGRID ORCS
1361	4774	ENTREZ_GENE	NFIA	BRMUTD|CTF|NF-I/A|NF1-A|NFI-A|NFI-L|KIAA1439	9606	Homo sapiens	0.00016401	0.00075741	0.757701	1.9411	-	YES	BioGRID ORCS
1361	50853	ENTREZ_GENE	VILL	-	9606	Homo sapiens	0.00018131	0.00083933	0.791372	2.0159	-	YES	BioGRID ORCS
1361	5119	ENTREZ_GENE	CHMP1A	CHMP1|PCH8|PCOLN3|PRSM1|VPS46-1|VPS46A|KIAA0047	9606	Homo sapiens	0.00020139	0.00092291	0.791372	0.27652	-	YES	BioGRID ORCS
1361	2628	ENTREZ_GENE	GATM	AGAT|AT|CCDS3	9606	Homo sapiens	0.0002487	0.0011338	0.862772	2.5135	-	YES	BioGRID ORCS
1361	1234	ENTREZ_GENE	CCR5	CC-CKR-5|CCCKR5|CCR-5|CD195|CKR-5|CKR5|CMKBR5|IDDM22	9606	Homo sapiens	0.00025892	0.0011863	0.862772	-3.9187	-	YES	BioGRID ORCS
1361	26355	ENTREZ_GENE	FAM162A	C3orf28|E2IG5|HGTD-P	9606	Homo sapiens	0.00026135	0.0011978	0.862772	0.76789	-	YES	BioGRID ORCS
1361	720	ENTREZ_GENE	C4A	C4|C4A2|C4A3|C4A4|C4A6|C4AD|C4S|CO4|CPAMD2|RG	9606	Homo sapiens	0.0003106	0.00092291	0.791372	2.6608	-	YES	BioGRID ORCS
1361	26998	ENTREZ_GENE	FETUB	16G2|Gugu|IRL685	9606	Homo sapiens	0.00031645	0.001453	0.899086	-1.5238	-	YES	BioGRID ORCS
1361	896	ENTREZ_GENE	CCND3	-	9606	Homo sapiens	0.00034537	0.0032127	0.899086	1.2148	-	YES	BioGRID ORCS
1361	25862	ENTREZ_GENE	USP49	-	9606	Homo sapiens	0.00035461	0.0016135	0.899086	2.1095	-	YES	BioGRID ORCS
1361	8784	ENTREZ_GENE	TNFRSF18	AITR|CD357|GITR|GITR-D	9606	Homo sapiens	0.00035558	0.0016152	0.899086	1.75	-	YES	BioGRID ORCS
1361	84125	ENTREZ_GENE	LRRIQ1	FLJ12303|KIAA1801	9606	Homo sapiens	0.00036409	0.0016558	0.899086	2.0525	-	YES	BioGRID ORCS
1361	387921	ENTREZ_GENE	NHLRC3	-	9606	Homo sapiens	0.00037398	0.0016943	0.899086	-0.8648	-	YES	BioGRID ORCS
1361	5630	ENTREZ_GENE	PRPH	NEF4|PRPH1	9606	Homo sapiens	0.00037848	0.0017147	0.899086	1.438	-	YES	BioGRID ORCS
1361	55201	ENTREZ_GENE	MAP1S	BPY2IP1|C19orf5|MAP8|VCY2IP-1|VCY2IP1|FLJ10669	9606	Homo sapiens	0.00041222	0.0018785	0.899086	1.5584	-	YES	BioGRID ORCS
1361	583	ENTREZ_GENE	BBS2	BBS|RP74	9606	Homo sapiens	0.00041595	0.0018917	0.899086	3.4816	-	YES	BioGRID ORCS
1361	5771	ENTREZ_GENE	PTPN2	PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP	9606	Homo sapiens	0.0004315	0.0019676	0.899086	0.39268	-	YES	BioGRID ORCS
