#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
865	6144	ENTREZ_GENE	RPL21	HYPT12|L21|FLJ27458|DKFZp686C06101	9606	Homo sapiens	3.26928736075	-	-	-	-	YES	BioGRID ORCS
865	5342	ENTREZ_GENE	PLGLB2	PLGP1	9606	Homo sapiens	3.15111514952	-	-	-	-	YES	BioGRID ORCS
865	2994	ENTREZ_GENE	GYPB	CD235b|GPB|GYP|MNS|PAS-3|SS	9606	Homo sapiens	2.95449522602	-	-	-	-	YES	BioGRID ORCS
865	6138	ENTREZ_GENE	RPL15	DBA12|EC45|L15|RPL10|RPLY10|RPYL10	9606	Homo sapiens	2.94186540269	-	-	-	-	YES	BioGRID ORCS
865	6164	ENTREZ_GENE	RPL34	L34	9606	Homo sapiens	2.90896523196	-	-	-	-	YES	BioGRID ORCS
865	6188	ENTREZ_GENE	RPS3	S3|FLJ27450|FLJ26283	9606	Homo sapiens	2.7093790489	-	-	-	-	YES	BioGRID ORCS
865	11331	ENTREZ_GENE	PHB2	BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22	9606	Homo sapiens	2.65011217788	-	-	-	-	YES	BioGRID ORCS
865	4141	ENTREZ_GENE	MARS	CMT2U|ILFS2|ILLD|METRS|MRS|MTRNS|SPG70	9606	Homo sapiens	2.64708977336	-	-	-	-	YES	BioGRID ORCS
865	6142	ENTREZ_GENE	RPL18A	L18A	9606	Homo sapiens	2.63532004178	-	-	-	-	YES	BioGRID ORCS
865	6224	ENTREZ_GENE	RPS20	S20	9606	Homo sapiens	2.60436208212	-	-	-	-	YES	BioGRID ORCS
865	9733	ENTREZ_GENE	SART3	DSAP1|P100|RP11-13G14|TIP110|p110|p110(nrb)|KIAA0156	9606	Homo sapiens	2.56129046496	-	-	-	-	YES	BioGRID ORCS
865	5594	ENTREZ_GENE	MAPK1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	9606	Homo sapiens	2.54496550286	-	-	-	-	YES	BioGRID ORCS
865	6147	ENTREZ_GENE	RPL23A	L23A|MDA20	9606	Homo sapiens	2.5254053447	-	-	-	-	YES	BioGRID ORCS
865	5048	ENTREZ_GENE	PAFAH1B1	LIS1|LIS2|MDCR|MDS|NudF|PAFAH	9606	Homo sapiens	2.51415752187	-	-	-	-	YES	BioGRID ORCS
865	23160	ENTREZ_GENE	WDR43	NET12|UTP5|KIAA0007	9606	Homo sapiens	2.49798581147	-	-	-	-	YES	BioGRID ORCS
