#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
2218	11176	ENTREZ_GENE	BAZ2A	TIP5|WALp3|KIAA0314	9606	Homo sapiens	1.101041891	0.131859499	-	-	-	NO	BioGRID ORCS
2218	5557	ENTREZ_GENE	PRIM1	p49	9606	Homo sapiens	0.895620335	0.393368202	-	-	-	NO	BioGRID ORCS
2218	92935	ENTREZ_GENE	MARS2	COXPD25|MetRS|mtMetRS	9606	Homo sapiens	0.8705183	0.876340544	-	-	-	NO	BioGRID ORCS
2218	63929	ENTREZ_GENE	XPNPEP3	APP3|ICP55|NPHPL1	9606	Homo sapiens	0.839925373	0.022202038	-	-	-	NO	BioGRID ORCS
2218	54799	ENTREZ_GENE	MBTD1	SA49P01|FLJ20055	9606	Homo sapiens	0.834255724	0.056622031	-	-	-	NO	BioGRID ORCS
2218	23369	ENTREZ_GENE	PUM2	PUMH2|PUML2|KIAA0235	9606	Homo sapiens	0.833633609	0.126943236	-	-	-	NO	BioGRID ORCS
2218	374354	ENTREZ_GENE	NHLRC2	FLJ25621|DKFZp779F115|FLJ33312|FLJ20147	9606	Homo sapiens	0.82150318	0.164545707	-	-	-	NO	BioGRID ORCS
2218	23787	ENTREZ_GENE	MTCH1	CGI-64|PIG60|PSAP|SLC25A49	9606	Homo sapiens	0.777251532	0.044108467	-	-	-	NO	BioGRID ORCS
2218	9054	ENTREZ_GENE	NFS1	HUSSY-08|IscS|NIFS	9606	Homo sapiens	0.766605689	0.529591146	-	-	-	NO	BioGRID ORCS
2218	9741	ENTREZ_GENE	LAPTM4A	HUMORF13|LAPTM4|MBNT|Mtrp|KIAA0108	9606	Homo sapiens	0.766106555	0.296705149	-	-	-	NO	BioGRID ORCS
2218	51126	ENTREZ_GENE	NAA20	NAT3|NAT3P|NAT5|NAT5P|dJ1002M8.1	9606	Homo sapiens	0.7593718	0.465864793	-	-	-	NO	BioGRID ORCS
2218	79074	ENTREZ_GENE	C2orf49	asw	9606	Homo sapiens	0.748667906	0.003185161	-	-	-	YES	BioGRID ORCS
2218	2324	ENTREZ_GENE	FLT4	FLT-4|FLT41|LMPH1A|PCL|VEGFR-3|VEGFR3	9606	Homo sapiens	0.743947705	0.3008206	-	-	-	NO	BioGRID ORCS
2218	210	ENTREZ_GENE	ALAD	ALADH|PBGS	9606	Homo sapiens	0.738799583	0.178778908	-	-	-	NO	BioGRID ORCS
2218	4331	ENTREZ_GENE	MNAT1	CAP35|MAT1|RNF66|TFB3	9606	Homo sapiens	0.735177187	0.65129065	-	-	-	NO	BioGRID ORCS
2218	79000	ENTREZ_GENE	AUNIP	AIBP|C1orf135	9606	Homo sapiens	0.730081034	0.353872203	-	-	-	NO	BioGRID ORCS
2218	4841	ENTREZ_GENE	NONO	MRXS34|NMT55|NRB54|P54|P54NRB|PPP1R114	9606	Homo sapiens	0.729492948	0.110708333	-	-	-	NO	BioGRID ORCS
2218	7329	ENTREZ_GENE	UBE2I	C358B7.1|P18|UBC9	9606	Homo sapiens	0.726628864	0.044054824	-	-	-	NO	BioGRID ORCS
2218	3070	ENTREZ_GENE	HELLS	ICF4|LSH|Nbla10143|PASG|SMARCA6	9606	Homo sapiens	0.723848579	0.123990334	-	-	-	NO	BioGRID ORCS
2218	27244	ENTREZ_GENE	SESN1	PA26|SEST1	9606	Homo sapiens	0.714769661	0.337294924	-	-	-	NO	BioGRID ORCS
2218	6879	ENTREZ_GENE	TAF7	TAF2F|TAFII55	9606	Homo sapiens	0.709230495	0.004367732	-	-	-	YES	BioGRID ORCS
2218	54606	ENTREZ_GENE	DDX56	DDX21|DDX26|NOH61	9606	Homo sapiens	0.706151848	0.001779745	-	-	-	YES	BioGRID ORCS
2218	10146	ENTREZ_GENE	G3BP1	G3BP|HDH-VIII	9606	Homo sapiens	0.702465628	0.02638116	-	-	-	NO	BioGRID ORCS
2218	10005	ENTREZ_GENE	ACOT8	HNAACTE|NAP1|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE	9606	Homo sapiens	0.697885178	0.685124149	-	-	-	NO	BioGRID ORCS
2218	7086	ENTREZ_GENE	TKT	HEL-S-48|HEL107|SDDHD|TK|TKT1	9606	Homo sapiens	0.697477091	0.018045526	-	-	-	NO	BioGRID ORCS
2218	8925	ENTREZ_GENE	HERC1	MDFPMR|p532|p619	9606	Homo sapiens	0.695050581	0.009646766	-	-	-	YES	BioGRID ORCS
2218	117289	ENTREZ_GENE	TAGAP	ARHGAP47|FKSG15|IDDM21|TAGAP1|FLJ32631	9606	Homo sapiens	0.685417966	0.132843861	-	-	-	NO	BioGRID ORCS
2218	523	ENTREZ_GENE	ATP6V1A	ARCL2D|ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1	9606	Homo sapiens	0.678749087	0.396639085	-	-	-	NO	BioGRID ORCS
2218	51116	ENTREZ_GENE	MRPS2	CGI-91|MRP-S2|S2mt	9606	Homo sapiens	0.675733699	0.06489613	-	-	-	NO	BioGRID ORCS
2218	204962	ENTREZ_GENE	SLC44A5	CTL5	9606	Homo sapiens	0.670012175	0.677189607	-	-	-	NO	BioGRID ORCS
2218	5515	ENTREZ_GENE	PPP2CA	PP2Ac|PP2CA|PP2Calpha|RP-C	9606	Homo sapiens	0.668598956	0.085580226	-	-	-	NO	BioGRID ORCS
2218	154790	ENTREZ_GENE	CLEC2L	FLJ32986	9606	Homo sapiens	0.668197641	0.29419542	-	-	-	NO	BioGRID ORCS
2218	10638	ENTREZ_GENE	SPHAR	-	9606	Homo sapiens	0.667364714	0.485898046	-	-	-	NO	BioGRID ORCS
2218	26985	ENTREZ_GENE	AP3M1	-	9606	Homo sapiens	0.662825116	0.415904729	-	-	-	NO	BioGRID ORCS
2218	10463	ENTREZ_GENE	SLC30A9	C4orf1|GAC63|HUEL|ZNT9	9606	Homo sapiens	0.651972979	0.09044195	-	-	-	NO	BioGRID ORCS
2218	54891	ENTREZ_GENE	INO80D	FLJ20309	9606	Homo sapiens	0.651507549	0.193005343	-	-	-	NO	BioGRID ORCS
2218	55626	ENTREZ_GENE	AMBRA1	DCAF3|WDR94|KIAA1736|FLJ20294	9606	Homo sapiens	0.649213146	0.093632286	-	-	-	NO	BioGRID ORCS
2218	960	ENTREZ_GENE	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1|CD44R	9606	Homo sapiens	0.646472939	0.183203978	-	-	-	NO	BioGRID ORCS
2218	2971	ENTREZ_GENE	GTF3A	AP2|TFIIIA	9606	Homo sapiens	0.644131767	0.38079662	-	-	-	NO	BioGRID ORCS
2218	5184	ENTREZ_GENE	PEPD	PROLIDASE	9606	Homo sapiens	0.642263313	0.394496191	-	-	-	NO	BioGRID ORCS
2218	386677	ENTREZ_GENE	KRTAP10-1	KAP10.1|KAP18-1|KAP18.1|KRTAP10.1|KRTAP18-1|KRTAP18.1	9606	Homo sapiens	0.64203529	0.017088122	-	-	-	NO	BioGRID ORCS
2218	84816	ENTREZ_GENE	RTN4IP1	NIMP|OPA10	9606	Homo sapiens	0.640092201	0.072445863	-	-	-	NO	BioGRID ORCS
2218	81490	ENTREZ_GENE	PTDSS2	PSS2	9606	Homo sapiens	0.635339376	0.227057309	-	-	-	NO	BioGRID ORCS
2218	10071	ENTREZ_GENE	MUC12	MUC-11|MUC-12|MUC11	9606	Homo sapiens	0.634304371	0.004945181	-	-	-	YES	BioGRID ORCS
2218	155382	ENTREZ_GENE	VPS37D	WBSCR24	9606	Homo sapiens	0.632129824	0.119567969	-	-	-	NO	BioGRID ORCS
2218	6233	ENTREZ_GENE	RPS27A	CEP80|HEL112|S27A|UBA80|UBC|UBCEP1|UBCEP80	9606	Homo sapiens	0.628262473	0.091541174	-	-	-	NO	BioGRID ORCS
2218	1731	ENTREZ_GENE	SEPT1	DIFF6|LARP|PNUTL3|SEP1	9606	Homo sapiens	0.628241452	0.169069473	-	-	-	NO	BioGRID ORCS
2218	51582	ENTREZ_GENE	AZIN1	AZI|AZI1|AZIA1|OAZI|OAZIN|ODC1L	9606	Homo sapiens	0.627214968	0.075927614	-	-	-	NO	BioGRID ORCS
2218	284194	ENTREZ_GENE	LGALS9B	-	9606	Homo sapiens	0.621045991	0.18450408	-	-	-	NO	BioGRID ORCS
2218	1747	ENTREZ_GENE	DLX3	AI4|TDO	9606	Homo sapiens	0.620420876	0.039798269	-	-	-	NO	BioGRID ORCS
2218	2529	ENTREZ_GENE	FUT7	FucT-VII	9606	Homo sapiens	0.612985446	0.000572497	-	-	-	YES	BioGRID ORCS
2218	5520	ENTREZ_GENE	PPP2R2A	B55A|B55ALPHA|PR52A|PR55A|PR55alpha	9606	Homo sapiens	0.611822631	0.019695099	-	-	-	NO	BioGRID ORCS
2218	7634	ENTREZ_GENE	ZNF80	pT17	9606	Homo sapiens	0.608570399	0.002784109	-	-	-	YES	BioGRID ORCS
2218	4291	ENTREZ_GENE	MLF1	-	9606	Homo sapiens	0.60694463	0.300670399	-	-	-	NO	BioGRID ORCS
