#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
919	79693	ENTREZ_GENE	YRDC	DRIP3|IRIP|SUA5|FLJ23476	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	10413	ENTREZ_GENE	YAP1	COB1|YAP|YAP2|YAP65|YKI	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	56949	ENTREZ_GENE	XAB2	HCNP|HCRN|NTC90|SYF1	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7465	ENTREZ_GENE	WEE1	WEE1A|WEE1hu	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	55339	ENTREZ_GENE	WDR33	NET14|WDC146|FLJ11294	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	51160	ENTREZ_GENE	VPS28	-	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7415	ENTREZ_GENE	VCP	ALS14|CDC48|CMT2Y|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	59286	ENTREZ_GENE	UBL5	HUB1	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7329	ENTREZ_GENE	UBE2I	C358B7.1|P18|UBC9	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7311	ENTREZ_GENE	UBA52	CEP52|HUBCEP52|L40|RPL40	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7307	ENTREZ_GENE	U2AF1	FP793|RN|RNU2AF1|U2AF35|U2AFBP	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	221830	ENTREZ_GENE	TWISTNB	-	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	22878	ENTREZ_GENE	TRAPPC8	GSG1|HsT2706|KIAA1012|TRS85	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	7153	ENTREZ_GENE	TOP2A	TOP2|TP2A	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	57187	ENTREZ_GENE	THOC2	CXorf3|MRX12|MRX35|THO2|dJ506G2.1|hTREX120	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6950	ENTREZ_GENE	TCP1	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	51188	ENTREZ_GENE	SS18L2	KIAA-iso	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6428	ENTREZ_GENE	SRSF3	SFRS3|SRp20	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6729	ENTREZ_GENE	SRP54	-	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	57405	ENTREZ_GENE	SPC25	AD024|SPBC25|hSpc25	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	147841	ENTREZ_GENE	SPC24	SPBC24|FLJ90806	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6637	ENTREZ_GENE	SNRPG	SMG|Sm-G	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6636	ENTREZ_GENE	SNRPF	SMF|Sm-F|snRNP-F	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6635	ENTREZ_GENE	SNRPE	HYPT11|SME|Sm-E|snRNP-E	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6634	ENTREZ_GENE	SNRPD3	SMD3|Sm-D3	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6632	ENTREZ_GENE	SNRPD1	HsT2456|SMD1|SNRPD|Sm-D1	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	6627	ENTREZ_GENE	SNRPA1	Lea1	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	23020	ENTREZ_GENE	SNRNP200	ASCC3L1|BRR2|HELIC2|RP33|U5-200KD|KIAA0788	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	55234	ENTREZ_GENE	SMU1	BWD|SMU-1|fSAP57|FLJ10805	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	83443	ENTREZ_GENE	SF3B5	SF3b10|Ysf3	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
919	23450	ENTREZ_GENE	SF3B3	RSE1|SAP130|SF3b130|STAF130|KIAA0017	9606	Homo sapiens	4.62500050939	-	-	-	-	YES	BioGRID ORCS
