#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
399	6632	ENTREZ_GENE	SNRPD1	HsT2456|SMD1|SNRPD|Sm-D1	9606	Homo sapiens	-1.60527424283	0.0	-	-	-	YES	BioGRID ORCS
399	7203	ENTREZ_GENE	CCT3	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5	9606	Homo sapiens	-1.51158303359	0.0	-	-	-	YES	BioGRID ORCS
399	5682	ENTREZ_GENE	PSMA1	HC2|HEL-S-275|NU|PROS30	9606	Homo sapiens	-1.49574887846	0.0	-	-	-	YES	BioGRID ORCS
399	9184	ENTREZ_GENE	BUB3	BUB3L|hBUB3	9606	Homo sapiens	-1.49514782918	0.0	-	-	-	YES	BioGRID ORCS
399	7465	ENTREZ_GENE	WEE1	WEE1A|WEE1hu	9606	Homo sapiens	-1.46951910482	0.0	-	-	-	YES	BioGRID ORCS
399	51659	ENTREZ_GENE	GINS2	HSPC037|PSF2|Pfs2	9606	Homo sapiens	-1.46360730504	0.0	-	-	-	YES	BioGRID ORCS
399	55234	ENTREZ_GENE	SMU1	BWD|SMU-1|fSAP57|FLJ10805	9606	Homo sapiens	-1.45890593606	0.0	-	-	-	YES	BioGRID ORCS
399	1315	ENTREZ_GENE	COPB1	COPB	9606	Homo sapiens	-1.45750273439	0.0	-	-	-	YES	BioGRID ORCS
399	9349	ENTREZ_GENE	RPL23	L23|rpL17	9606	Homo sapiens	-1.45307938932	0.0	-	-	-	YES	BioGRID ORCS
399	51119	ENTREZ_GENE	SBDS	CGI-97|SDS|SWDS|FLJ10917	9606	Homo sapiens	-1.45149797216	0.0	-	-	-	YES	BioGRID ORCS
399	5901	ENTREZ_GENE	RAN	ARA24|Gsp1|TC4	9606	Homo sapiens	-1.44972259991	0.0	-	-	-	YES	BioGRID ORCS
399	5691	ENTREZ_GENE	PSMB3	HC10-II	9606	Homo sapiens	-1.4481244261	0.0	-	-	-	YES	BioGRID ORCS
399	51747	ENTREZ_GENE	LUC7L3	CRA|CREAP-1|CROP|LUC7A|OA48-18|hLuc7A|FLJ11063	9606	Homo sapiens	-1.43881752235	0.0	-	-	-	YES	BioGRID ORCS
399	5687	ENTREZ_GENE	PSMA6	IOTA|PROS27|p27K	9606	Homo sapiens	-1.43406870178	0.0	-	-	-	YES	BioGRID ORCS
399	23160	ENTREZ_GENE	WDR43	NET12|UTP5|KIAA0007	9606	Homo sapiens	-1.43343090046	0.0	-	-	-	YES	BioGRID ORCS
399	6205	ENTREZ_GENE	RPS11	S11	9606	Homo sapiens	-1.43200184918	0.0	-	-	-	YES	BioGRID ORCS
399	23020	ENTREZ_GENE	SNRNP200	ASCC3L1|BRR2|HELIC2|RP33|U5-200KD|KIAA0788	9606	Homo sapiens	-1.42852066453	0.0	-	-	-	YES	BioGRID ORCS
399	90390	ENTREZ_GENE	MED30	MED30S|THRAP6|TRAP25	9606	Homo sapiens	-1.42612166694	0.0	-	-	-	YES	BioGRID ORCS
399	5441	ENTREZ_GENE	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6|hsRPB10b	9606	Homo sapiens	-1.42546522749	0.0	-	-	-	YES	BioGRID ORCS
399	7415	ENTREZ_GENE	VCP	ALS14|CDC48|CMT2Y|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	9606	Homo sapiens	-1.42516864518	0.0	-	-	-	YES	BioGRID ORCS
399	10594	ENTREZ_GENE	PRPF8	HPRP8|PRP8|PRPC8|RP13|SNRNP220	9606	Homo sapiens	-1.42468217908	0.0	-	-	-	YES	BioGRID ORCS
399	11128	ENTREZ_GENE	POLR3A	ADDH|HLD7|RPC1|RPC155|hRPC155	9606	Homo sapiens	-1.41620991705	0.0	-	-	-	YES	BioGRID ORCS
399	4839	ENTREZ_GENE	NOP2	NOL1|NOP120|NSUN1|p120	9606	Homo sapiens	-1.41574296854	0.0	-	-	-	YES	BioGRID ORCS
399	10907	ENTREZ_GENE	TXNL4A	BMKS|DIB1|DIM1|SNRNP15|TXNL4|U5-15kD|HsT161	9606	Homo sapiens	-1.41427477173	0.0	-	-	-	YES	BioGRID ORCS
399	23141	ENTREZ_GENE	ANKLE2	KIAA0692|LEMD7|Lem4|MCPH16	9606	Homo sapiens	-1.41339261423	0.0	-	-	-	YES	BioGRID ORCS
399	2197	ENTREZ_GENE	FAU	FAU1|Fub1|Fubi|MNSFbeta|RPS30|S30|asr1|FLJ22986	9606	Homo sapiens	-1.41208332563	0.0	-	-	-	YES	BioGRID ORCS
399	6129	ENTREZ_GENE	RPL7	L7|humL7-1	9606	Homo sapiens	-1.41075934739	0.0	-	-	-	YES	BioGRID ORCS
399	8881	ENTREZ_GENE	CDC16	ANAPC6|APC6|CDC16Hs|CUT9	9606	Homo sapiens	-1.40349015547	0.0	-	-	-	YES	BioGRID ORCS
399	8607	ENTREZ_GENE	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	9606	Homo sapiens	-1.3996302952	0.0	-	-	-	YES	BioGRID ORCS
399	2987	ENTREZ_GENE	GUK1	GMK	9606	Homo sapiens	-1.39854096412	0.0	-	-	-	YES	BioGRID ORCS
399	414060	ENTREZ_GENE	TBC1D3C	TBC1D3D	9606	Homo sapiens	-1.39739316281	0.0	-	-	-	YES	BioGRID ORCS
399	3837	ENTREZ_GENE	KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	9606	Homo sapiens	-1.39649666711	0.0	-	-	-	YES	BioGRID ORCS
399	6124	ENTREZ_GENE	RPL4	L4	9606	Homo sapiens	-1.39640757275	0.0	-	-	-	YES	BioGRID ORCS
399	1938	ENTREZ_GENE	EEF2	EEF-2|EF-2|EF2|SCA26	9606	Homo sapiens	-1.39510493735	0.0	-	-	-	YES	BioGRID ORCS
399	6136	ENTREZ_GENE	RPL12	L12	9606	Homo sapiens	-1.39143424105	0.0	-	-	-	YES	BioGRID ORCS
399	22916	ENTREZ_GENE	NCBP2	CBC2|CBP20|NIP1|PIG55	9606	Homo sapiens	-1.39098043646	0.0	-	-	-	YES	BioGRID ORCS
399	6224	ENTREZ_GENE	RPS20	S20	9606	Homo sapiens	-1.39017654052	0.0	-	-	-	YES	BioGRID ORCS
399	84844	ENTREZ_GENE	PHF5A	INI|Rds3|SAP14b|SF3B7|SF3b14b|bK223H9.2	9606	Homo sapiens	-1.39014675808	0.0	-	-	-	YES	BioGRID ORCS
399	6155	ENTREZ_GENE	RPL27	DBA16|L27	9606	Homo sapiens	-1.38519164962	0.0	-	-	-	YES	BioGRID ORCS
399	147841	ENTREZ_GENE	SPC24	SPBC24|FLJ90806	9606	Homo sapiens	-1.38456523954	0.0	-	-	-	YES	BioGRID ORCS
399	51163	ENTREZ_GENE	DBR1	-	9606	Homo sapiens	-1.37802018522	0.0	-	-	-	YES	BioGRID ORCS
399	1841	ENTREZ_GENE	DTYMK	CDC8|PP3731|TMPK|TYMK	9606	Homo sapiens	-1.37594490233	0.0	-	-	-	YES	BioGRID ORCS
399	8318	ENTREZ_GENE	CDC45	CDC45L|CDC45L2|MGORS7|PORC-PI-1	9606	Homo sapiens	-1.37160641375	0.0	-	-	-	YES	BioGRID ORCS
399	3832	ENTREZ_GENE	KIF11	EG5|HKSP|KNSL1|MCLMR|TRIP5	9606	Homo sapiens	-1.36973204041	0.0	-	-	-	YES	BioGRID ORCS
399	10056	ENTREZ_GENE	FARSB	FARSLB|FRSB|HSPC173|PheHB|PheRS	9606	Homo sapiens	-1.3690522212	0.0	-	-	-	YES	BioGRID ORCS
399	54555	ENTREZ_GENE	DDX49	Dbp8|R27090_2|FLJ10432	9606	Homo sapiens	-1.36883974662	0.0	-	-	-	YES	BioGRID ORCS
399	51529	ENTREZ_GENE	ANAPC11	APC11|Apc11p|HSPC214	9606	Homo sapiens	-1.36569089425	0.0	-	-	-	YES	BioGRID ORCS
399	84916	ENTREZ_GENE	UTP4	CIRH1A|CIRHIN|NAIC|TEX292|FLJ14728|KIAA1988	9606	Homo sapiens	-1.36557302567	0.0	-	-	-	YES	BioGRID ORCS
399	203068	ENTREZ_GENE	TUBB	CDCBM6|CSCSC1|M40|OK/SW-cl.56|TUBB1|TUBB5	9606	Homo sapiens	-1.36407680263	0.0	-	-	-	YES	BioGRID ORCS
399	6607	ENTREZ_GENE	SMN2	BCD541|C-BCD541|GEMIN1|SMNC|TDRD16B	9606	Homo sapiens	-1.35919658803	0.0	-	-	-	YES	BioGRID ORCS
399	2107	ENTREZ_GENE	ETF1	D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1	9606	Homo sapiens	-1.35881142047	0.0	-	-	-	YES	BioGRID ORCS
399	57819	ENTREZ_GENE	LSM2	C6orf28|G7B|YBL026W|snRNP	9606	Homo sapiens	-1.35577871004	0.0	-	-	-	YES	BioGRID ORCS
399	79693	ENTREZ_GENE	YRDC	DRIP3|IRIP|SUA5|FLJ23476	9606	Homo sapiens	-1.35458540507	0.0	-	-	-	YES	BioGRID ORCS
399	8565	ENTREZ_GENE	YARS	CMTDIC|TYRRS|YRS|YTS	9606	Homo sapiens	-1.35276782969	0.0	-	-	-	YES	BioGRID ORCS
