#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
2105	10481	ENTREZ_GENE	HOXB13	PSGD	9606	Homo sapiens	-1.484886949	-	-	-	-	YES	BioGRID ORCS
2105	57697	ENTREZ_GENE	FANCM	FAAP250|KIAA1596	9606	Homo sapiens	-1.362611087	-	-	-	-	YES	BioGRID ORCS
2105	1019	ENTREZ_GENE	CDK4	CMM3|PSK-J3	9606	Homo sapiens	-1.186664109	-	-	-	-	YES	BioGRID ORCS
2105	1063	ENTREZ_GENE	CENPF	CENF|CILD31|PRO1779|STROMS|hcp-1	9606	Homo sapiens	-1.142810082	-	-	-	-	YES	BioGRID ORCS
2105	9819	ENTREZ_GENE	TSC22D2	TILZ4a|TILZ4b|TILZ4c|KIAA0669	9606	Homo sapiens	-1.127924649	-	-	-	-	YES	BioGRID ORCS
2105	84219	ENTREZ_GENE	WDR24	C16orf21|JFP7|DKFZp434F054	9606	Homo sapiens	-0.980511248	-	-	-	-	YES	BioGRID ORCS
2105	3181	ENTREZ_GENE	HNRNPA2B1	HNRNPA2|HNRNPB1|HNRPA2|HNRPA2B1|HNRPB1|IBMPFD2|RNPA2|SNRPB1	9606	Homo sapiens	-0.962815997	-	-	-	-	YES	BioGRID ORCS
2105	6434	ENTREZ_GENE	TRA2B	Htra2-beta|PPP1R156|SFRS10|SRFS10|TRA2-BETA|TRAN2B	9606	Homo sapiens	-0.941203767	-	-	-	-	YES	BioGRID ORCS
2105	1655	ENTREZ_GENE	DDX5	G17P1|HLR1|HUMP68|p68	9606	Homo sapiens	-0.908158059	-	-	-	-	YES	BioGRID ORCS
2105	10735	ENTREZ_GENE	STAG2	SA-2|SA2|SCC3B|bA517O1.1	9606	Homo sapiens	-0.893525414	-	-	-	-	YES	BioGRID ORCS
2105	84640	ENTREZ_GENE	USP38	HP43.8KD|KIAA1891	9606	Homo sapiens	-0.891017816	-	-	-	-	YES	BioGRID ORCS
