#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
267	5901	ENTREZ_GENE	RAN	ARA24|Gsp1|TC4	9606	Homo sapiens	-1.97659626051	0.0	-	-	-	YES	BioGRID ORCS
267	414060	ENTREZ_GENE	TBC1D3C	TBC1D3D	9606	Homo sapiens	-1.91781603282	0.0	-	-	-	YES	BioGRID ORCS
267	5691	ENTREZ_GENE	PSMB3	HC10-II	9606	Homo sapiens	-1.89405597578	0.0	-	-	-	YES	BioGRID ORCS
267	5441	ENTREZ_GENE	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6|hsRPB10b	9606	Homo sapiens	-1.80648185294	0.0	-	-	-	YES	BioGRID ORCS
267	9184	ENTREZ_GENE	BUB3	BUB3L|hBUB3	9606	Homo sapiens	-1.8053948968	0.0	-	-	-	YES	BioGRID ORCS
267	1938	ENTREZ_GENE	EEF2	EEF-2|EF-2|EF2|SCA26	9606	Homo sapiens	-1.8024302454	0.0	-	-	-	YES	BioGRID ORCS
267	54955	ENTREZ_GENE	C1orf109	FLJ20508	9606	Homo sapiens	-1.79526272021	0.0	-	-	-	YES	BioGRID ORCS
267	79693	ENTREZ_GENE	YRDC	DRIP3|IRIP|SUA5|FLJ23476	9606	Homo sapiens	-1.79004209833	0.0	-	-	-	YES	BioGRID ORCS
267	84916	ENTREZ_GENE	UTP4	CIRH1A|CIRHIN|NAIC|TEX292|FLJ14728|KIAA1988	9606	Homo sapiens	-1.78256203423	0.0	-	-	-	YES	BioGRID ORCS
267	9349	ENTREZ_GENE	RPL23	L23|rpL17	9606	Homo sapiens	-1.77847275428	0.0	-	-	-	YES	BioGRID ORCS
267	6301	ENTREZ_GENE	SARS	SERRS|SERS	9606	Homo sapiens	-1.77383654711	0.0	-	-	-	YES	BioGRID ORCS
267	10213	ENTREZ_GENE	PSMD14	PAD1|POH1|RPN11	9606	Homo sapiens	-1.772645428	0.0	-	-	-	YES	BioGRID ORCS
267	5713	ENTREZ_GENE	PSMD7	MOV34|P40|Rpn8|S12	9606	Homo sapiens	-1.76974187807	0.0	-	-	-	YES	BioGRID ORCS
267	8208	ENTREZ_GENE	CHAF1B	CAF-1|CAF-IP60|CAF1|CAF1A|CAF1P60|MPHOSPH7|MPP7	9606	Homo sapiens	-1.74139547084	0.0	-	-	-	YES	BioGRID ORCS
267	7203	ENTREZ_GENE	CCT3	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5	9606	Homo sapiens	-1.73358130685	0.0	-	-	-	YES	BioGRID ORCS
267	5694	ENTREZ_GENE	PSMB6	DELTA|LMPY|Y	9606	Homo sapiens	-1.73346334917	0.0	-	-	-	YES	BioGRID ORCS
267	6167	ENTREZ_GENE	RPL37	L37	9606	Homo sapiens	-1.72216389428	0.0	-	-	-	YES	BioGRID ORCS
267	8872	ENTREZ_GENE	CDC123	C10orf7|D123	9606	Homo sapiens	-1.71977900782	0.0	-	-	-	YES	BioGRID ORCS
267	5439	ENTREZ_GENE	POLR2J	POLR2J1|RPB11|RPB11A|RPB11m|hRPB14	9606	Homo sapiens	-1.70815682645	0.0	-	-	-	YES	BioGRID ORCS
267	6136	ENTREZ_GENE	RPL12	L12	9606	Homo sapiens	-1.69899328644	0.0	-	-	-	YES	BioGRID ORCS
267	23020	ENTREZ_GENE	SNRNP200	ASCC3L1|BRR2|HELIC2|RP33|U5-200KD|KIAA0788	9606	Homo sapiens	-1.69472035546	0.0	-	-	-	YES	BioGRID ORCS
267	29980	ENTREZ_GENE	DONSON	B17|C21orf60|DKFZP434M035	9606	Homo sapiens	-1.6858782381	0.0	-	-	-	YES	BioGRID ORCS
267	1965	ENTREZ_GENE	EIF2S1	EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A	9606	Homo sapiens	-1.68553660667	0.0	-	-	-	YES	BioGRID ORCS
267	3832	ENTREZ_GENE	KIF11	EG5|HKSP|KNSL1|MCLMR|TRIP5	9606	Homo sapiens	-1.68062959865	0.0	-	-	-	YES	BioGRID ORCS
267	1798	ENTREZ_GENE	DPAGT1	ALG7|CDG-Ij|CDG1J|CMS13|CMSTA2|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT	9606	Homo sapiens	-1.65284121478	0.0	-	-	-	YES	BioGRID ORCS
267	51188	ENTREZ_GENE	SS18L2	KIAA-iso	9606	Homo sapiens	-1.64300140931	0.0	-	-	-	YES	BioGRID ORCS
267	10907	ENTREZ_GENE	TXNL4A	BMKS|DIB1|DIM1|SNRNP15|TXNL4|U5-15kD|HsT161	9606	Homo sapiens	-1.63942321071	0.0	-	-	-	YES	BioGRID ORCS
267	6241	ENTREZ_GENE	RRM2	R2|RR2|RR2M	9606	Homo sapiens	-1.63890686501	0.0	-	-	-	YES	BioGRID ORCS
267	3837	ENTREZ_GENE	KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	9606	Homo sapiens	-1.6324548931	0.0	-	-	-	YES	BioGRID ORCS
267	6632	ENTREZ_GENE	SNRPD1	HsT2456|SMD1|SNRPD|Sm-D1	9606	Homo sapiens	-1.63131013801	0.0	-	-	-	YES	BioGRID ORCS
267	6427	ENTREZ_GENE	SRSF2	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	9606	Homo sapiens	-1.62903576456	0.0	-	-	-	YES	BioGRID ORCS
