#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
265	5901	ENTREZ_GENE	RAN	ARA24|Gsp1|TC4	9606	Homo sapiens	-3.02888782315	0.0	-	-	-	YES	BioGRID ORCS
265	5713	ENTREZ_GENE	PSMD7	MOV34|P40|Rpn8|S12	9606	Homo sapiens	-2.59213755769	0.0	-	-	-	YES	BioGRID ORCS
265	6301	ENTREZ_GENE	SARS	SERRS|SERS	9606	Homo sapiens	-2.53059026449	0.0	-	-	-	YES	BioGRID ORCS
265	10907	ENTREZ_GENE	TXNL4A	BMKS|DIB1|DIM1|SNRNP15|TXNL4|U5-15kD|HsT161	9606	Homo sapiens	-2.49176390038	0.0	-	-	-	YES	BioGRID ORCS
265	9184	ENTREZ_GENE	BUB3	BUB3L|hBUB3	9606	Homo sapiens	-2.43105605432	0.0	-	-	-	YES	BioGRID ORCS
265	1798	ENTREZ_GENE	DPAGT1	ALG7|CDG-Ij|CDG1J|CMS13|CMSTA2|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT	9606	Homo sapiens	-2.40750482138	0.0	-	-	-	YES	BioGRID ORCS
265	3832	ENTREZ_GENE	KIF11	EG5|HKSP|KNSL1|MCLMR|TRIP5	9606	Homo sapiens	-2.36974513179	0.0	-	-	-	YES	BioGRID ORCS
265	5441	ENTREZ_GENE	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6|hsRPB10b	9606	Homo sapiens	-2.34829321101	0.0	-	-	-	YES	BioGRID ORCS
265	6241	ENTREZ_GENE	RRM2	R2|RR2|RR2M	9606	Homo sapiens	-2.30582582777	0.0	-	-	-	YES	BioGRID ORCS
265	115106	ENTREZ_GENE	HAUS1	CCDC5|HEI-C|HEIC|HsT1461|FLJ40084	9606	Homo sapiens	-2.29655150568	0.0	-	-	-	YES	BioGRID ORCS
265	5439	ENTREZ_GENE	POLR2J	POLR2J1|RPB11|RPB11A|RPB11m|hRPB14	9606	Homo sapiens	-2.26814743101	0.0	-	-	-	YES	BioGRID ORCS
265	90390	ENTREZ_GENE	MED30	MED30S|THRAP6|TRAP25	9606	Homo sapiens	-2.26650761588	0.0	-	-	-	YES	BioGRID ORCS
265	55599	ENTREZ_GENE	RNPC3	RBM40|RNP|SNRNP65|FLJ20008|KIAA1839	9606	Homo sapiens	-2.21835707205	0.0	-	-	-	YES	BioGRID ORCS
265	29980	ENTREZ_GENE	DONSON	B17|C21orf60|DKFZP434M035	9606	Homo sapiens	-2.21691746167	0.0	-	-	-	YES	BioGRID ORCS
265	5111	ENTREZ_GENE	PCNA	ATLD2	9606	Homo sapiens	-2.17534583678	0.0	-	-	-	YES	BioGRID ORCS
265	414060	ENTREZ_GENE	TBC1D3C	TBC1D3D	9606	Homo sapiens	-2.14057064562	0.0	-	-	-	YES	BioGRID ORCS
265	5691	ENTREZ_GENE	PSMB3	HC10-II	9606	Homo sapiens	-2.10311525322	0.0	-	-	-	YES	BioGRID ORCS
265	1938	ENTREZ_GENE	EEF2	EEF-2|EF-2|EF2|SCA26	9606	Homo sapiens	-2.09279584271	0.0	-	-	-	YES	BioGRID ORCS
265	23020	ENTREZ_GENE	SNRNP200	ASCC3L1|BRR2|HELIC2|RP33|U5-200KD|KIAA0788	9606	Homo sapiens	-2.08874090989	0.0	-	-	-	YES	BioGRID ORCS
265	988	ENTREZ_GENE	CDC5L	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1|hCDC5	9606	Homo sapiens	-2.08855517412	0.0	-	-	-	YES	BioGRID ORCS
265	51659	ENTREZ_GENE	GINS2	HSPC037|PSF2|Pfs2	9606	Homo sapiens	-2.05189386601	0.0	-	-	-	YES	BioGRID ORCS
265	6628	ENTREZ_GENE	SNRPB	CCMS|COD|SNRPB1|Sm-B/B'|SmB/B'|SmB/SmB'|snRNP-B|Sm-B/B|SmB/SmB	9606	Homo sapiens	-2.03698412167	0.0	-	-	-	YES	BioGRID ORCS
265	5438	ENTREZ_GENE	POLR2I	RPB9|hRPB14.5	9606	Homo sapiens	-2.03409435322	0.0	-	-	-	YES	BioGRID ORCS
265	6167	ENTREZ_GENE	RPL37	L37	9606	Homo sapiens	-2.01688722036	0.0	-	-	-	YES	BioGRID ORCS
265	121441	ENTREZ_GENE	NEDD1	GCP-WD|TUBGCP7	9606	Homo sapiens	-2.00683075816	0.0	-	-	-	YES	BioGRID ORCS
265	3837	ENTREZ_GENE	KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	9606	Homo sapiens	-1.9836630673	0.0	-	-	-	YES	BioGRID ORCS
265	253714	ENTREZ_GENE	MMS22L	C6orf167|dJ39B17.2	9606	Homo sapiens	-1.94898822879	0.0	-	-	-	YES	BioGRID ORCS
265	5694	ENTREZ_GENE	PSMB6	DELTA|LMPY|Y	9606	Homo sapiens	-1.94636437353	0.0	-	-	-	YES	BioGRID ORCS
265	4609	ENTREZ_GENE	MYC	MRTL|MYCC|bHLHe39|c-Myc	9606	Homo sapiens	-1.94111048953	0.0	-	-	-	YES	BioGRID ORCS
265	51119	ENTREZ_GENE	SBDS	CGI-97|SDS|SWDS|FLJ10917	9606	Homo sapiens	-1.93788749035	0.0	-	-	-	YES	BioGRID ORCS
265	55143	ENTREZ_GENE	CDCA8	BOR|BOREALIN|DasraB|MESRGP|FLJ12042	9606	Homo sapiens	-1.9249421529	0.0	-	-	-	YES	BioGRID ORCS
265	5684	ENTREZ_GENE	PSMA3	HC8|PSC3	9606	Homo sapiens	-1.90868765107	0.0	-	-	-	YES	BioGRID ORCS
265	6427	ENTREZ_GENE	SRSF2	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	9606	Homo sapiens	-1.90348970511	0.0	-	-	-	YES	BioGRID ORCS
265	991	ENTREZ_GENE	CDC20	CDC20A|bA276H19.3|p55CDC	9606	Homo sapiens	-1.9003028286	0.0	-	-	-	YES	BioGRID ORCS
265	147841	ENTREZ_GENE	SPC24	SPBC24|FLJ90806	9606	Homo sapiens	-1.90027455863	0.0	-	-	-	YES	BioGRID ORCS
265	8732	ENTREZ_GENE	RNGTT	CAP1A|HCE|HCE1|hCAP	9606	Homo sapiens	-1.89593183361	0.0	-	-	-	YES	BioGRID ORCS
265	2197	ENTREZ_GENE	FAU	FAU1|Fub1|Fubi|MNSFbeta|RPS30|S30|asr1|FLJ22986	9606	Homo sapiens	-1.89231232029	0.0	-	-	-	YES	BioGRID ORCS
265	8318	ENTREZ_GENE	CDC45	CDC45L|CDC45L2|MGORS7|PORC-PI-1	9606	Homo sapiens	-1.88605348443	0.0	-	-	-	YES	BioGRID ORCS
265	9700	ENTREZ_GENE	ESPL1	ESP1|SEPA|KIAA0165	9606	Homo sapiens	-1.88167186857	0.0	-	-	-	YES	BioGRID ORCS
265	5347	ENTREZ_GENE	PLK1	PLK|STPK13	9606	Homo sapiens	-1.88030778992	0.0	-	-	-	YES	BioGRID ORCS
265	6224	ENTREZ_GENE	RPS20	S20	9606	Homo sapiens	-1.87278114811	0.0	-	-	-	YES	BioGRID ORCS
265	6118	ENTREZ_GENE	RPA2	REPA2|RP-A p32|RP-A p34|RPA32	9606	Homo sapiens	-1.85751085108	0.0	-	-	-	YES	BioGRID ORCS
265	996	ENTREZ_GENE	CDC27	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	9606	Homo sapiens	-1.83321362463	0.0	-	-	-	YES	BioGRID ORCS
265	80335	ENTREZ_GENE	WDR82	MST107|MSTP107|PRO2730|PRO34047|SWD2|TMEM113|WDR82A	9606	Homo sapiens	-1.82996071514	0.0	-	-	-	YES	BioGRID ORCS
265	6627	ENTREZ_GENE	SNRPA1	Lea1	9606	Homo sapiens	-1.82701225435	0.0	-	-	-	YES	BioGRID ORCS
265	387103	ENTREZ_GENE	CENPW	C6orf173|CENP-W|CUG2	9606	Homo sapiens	-1.82346746397	0.0	-	-	-	YES	BioGRID ORCS
265	64151	ENTREZ_GENE	NCAPG	CAPG|CHCG|NY-MEL-3|YCG1|FLJ12450|CAP-G|hCAP-G	9606	Homo sapiens	-1.81388705032	0.0	-	-	-	YES	BioGRID ORCS
265	116150	ENTREZ_GENE	NUS1	C6orf68|CDG1AA|MGC:7199|NgBR|TANGO14	9606	Homo sapiens	-1.8070844104	0.0	-	-	-	YES	BioGRID ORCS
265	983	ENTREZ_GENE	CDK1	CDC2|CDC28A|P34CDC2	9606	Homo sapiens	-1.80434256518	0.0	-	-	-	YES	BioGRID ORCS
265	527	ENTREZ_GENE	ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	9606	Homo sapiens	-1.79954143945	0.0	-	-	-	YES	BioGRID ORCS
265	11128	ENTREZ_GENE	POLR3A	ADDH|HLD7|RPC1|RPC155|hRPC155	9606	Homo sapiens	-1.79685173862	0.0	-	-	-	YES	BioGRID ORCS
265	8208	ENTREZ_GENE	CHAF1B	CAF-1|CAF-IP60|CAF1|CAF1A|CAF1P60|MPHOSPH7|MPP7	9606	Homo sapiens	-1.79399322549	0.0	-	-	-	YES	BioGRID ORCS
265	5048	ENTREZ_GENE	PAFAH1B1	LIS1|LIS2|MDCR|MDS|NudF|PAFAH	9606	Homo sapiens	-1.79258763446	0.0	-	-	-	YES	BioGRID ORCS
265	6903	ENTREZ_GENE	TBCC	CFC	9606	Homo sapiens	-1.78921295414	0.0	-	-	-	YES	BioGRID ORCS
265	10291	ENTREZ_GENE	SF3A1	PRP21|PRPF21|SAP114|SF3A120	9606	Homo sapiens	-1.77503201248	0.0	-	-	-	YES	BioGRID ORCS
